competitionId,competitionName,competitionNick,competitionShort,competitionManagerId,competitionManagerName,competitionManagerInternalId,competitionFoundDate,competitionStatus,organizationName,organizationId,sponsorName,sponsorId,venueName,venueId
eb28fe84-b963-4058-9af2-ad86764210ed,Pražská liga ledního hokeje,PLLH,PLLH,,,,1.1.1983,Active,Pražská liga ledního hokeje,d0f6f7bc-8a93-433b-9cc0-e7f56ce6ae17,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,,
c7c0bb15-5d29-415d-851e-5d777c6cc621,PHM Cup,PHM Cup,PHM,,,,10.5.2015,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,Bauer Hockey Czech,18d7a954-153e-442b-a90a-45128ca6251c,,
c7c0bb15-5d29-415d-851e-5d777c6cc621,PHM Cup,PHM Cup,PHM,,,,10.5.2015,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,Kappa Czech republic,3bdb669a-021c-45ba-86e2-d23b81dfba31,,
c7c0bb15-5d29-415d-851e-5d777c6cc621,PHM Cup,PHM Cup,PHM,,,,10.5.2015,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,47,f3acc469-fe80-4706-96bd-22b17c33e89a,,
c7c0bb15-5d29-415d-851e-5d777c6cc621,PHM Cup,PHM Cup,PHM,,,,10.5.2015,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,Blademaster,2cf13ce9-d4cf-42b6-aeb5-93a1445185e5,,
c7c0bb15-5d29-415d-851e-5d777c6cc621,PHM Cup,PHM Cup,PHM,,,,10.5.2015,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,GNB Chem,69a695eb-ec6c-4ac5-b224-c9fc48ec86c9,,
c7c0bb15-5d29-415d-851e-5d777c6cc622,PHM Cup,PHM Cup,PHM,,,,10.5.2015,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,Škoda Icerink,86a8922b-1deb-4d19-bc40-e397f03054fa,,
fb18fbb5-2a6f-4328-8ef0-dfc2f4e08ad4,WND Cup Ledeč nad Sázavou,WND Cup,WND,,,,1.1.2014,Inactive,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,,
b4348584-a378-48b7-afdc-feca879c3371,Memorial Tomáše Smutka,55 Memorial,TS55,,,,13.9.2019,Active,Prague Hockey Masters,bb669217-41eb-4162-8040-a73f49a43570,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,,
2de7034f-eb25-4397-b488-72ae5e41e61d,NHLH - Neregistrovaní Hráči Ledního Hokeje,Benešovská liga,NHLH,,,,1.1.2001,Active,NHLH - Neregistrovaní Hráči Ledního Hokeje,4f140adb-6783-43df-b6dd-a80abab04fcd,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,,
ce84bfe3-41fd-46de-aad4-409b769b0b2a,CCM Liga,CCM Liga,CCM,,,,1..2013,Active,CCM Liga,76a09c97-beb5-4d19-a6f5-f1a48d12a3aa,CCM Czech republic,9c396cd3-15a6-4c80-9c2a-db3ed6577a32,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
,,,,,,,,,,#N/A,,,,
