groupId,groupName,groupNick,groupShort,groupTeamsLimit,competitionName,competitionId,phaseName,phaseId,sponsorName,sponsorId,seasonName,seasonId,venueName,venueId
3f694722-f499-4ead-babf-d0d9b57b40ae,PLLH 1. skupina,PLLH 1,PLLH 1,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
3fd3e7a6-469b-44aa-9537-9327d406ff38,PLLH 2. skupina,PLLH 2,PLLH 2,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
25650196-4170-43ce-b998-ae43b639fddb,PLLH 3. skupina,PLLH 3,PLLH 3,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
22244e58-408c-48b5-88c0-aee5696f4948,PLLH 4. skupina,PLLH 4,PLLH 4,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
757cc6f2-9239-4ab3-a3b2-5a85d2ba3917,PLLH 5. skupina,PLLH 5,PLLH 5,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
6997d826-db08-40da-9b0a-38df0b0c0930,PLLH 6. skupina,PLLH 6,PLLH 6,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
b9eeef04-98d5-4557-b8d1-b705de270235,PLLH 7. skupina,PLLH 7,PLLH 7,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
dc90e4d4-1539-48d3-84cd-d1a8278df24b,PLLH 1. skupina,PLLH 1,PLLH 1,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
913e8564-5d81-485e-b2e3-60e7f1b24911,PLLH 2. skupina,PLLH 2,PLLH 2,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
0e0c2764-7ed1-4a2c-84ce-43b6615e9ca8,PLLH 3. skupina,PLLH 3,PLLH 3,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
56e00b89-c0e8-4152-952b-c167e186cebd,PLLH 4. skupina,PLLH 4,PLLH 4,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
75a91523-3ac9-4837-84e8-87e565633ec6,PLLH 5. skupina,PLLH 5,PLLH 5,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
cef7d618-eab6-4458-8e84-864c9111cb7e,PLLH 6. skupina,PLLH 6,PLLH 6,10,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
08cfb577-dafb-4c5e-9f88-746e55a2f8d6,PLLH 1. skupina,PLLH 1,PLLH 1,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
ca38970e-6ae3-4939-95d7-f4b14ffc3650,PLLH 2. skupina,PLLH 2,PLLH 2,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
c0ab4a6d-e399-4732-9340-7abb2da954bc,PLLH 3. skupina,PLLH 3,PLLH 3,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
7438f1c5-4c02-4b0c-aa8e-ec5aaf0e3be1,PLLH 4. skupina,PLLH 4,PLLH 4,10,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
f9c93f8d-586d-41a2-8384-cd4fa03d88a1,PLLH 5. skupina,PLLH 5,PLLH 5,11,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
40cc7a1a-5569-4f22-8f01-469504b3e8da,PLLH 6. skupina,PLLH 6,PLLH 6,10,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
fbd2b5ba-a9a6-4f60-8585-adb0ee0640d5,PLLH 1. skupina,PLLH 1,PLLH 1,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
39057889-8ace-46ab-8b58-53ee45b351a7,PLLH 2. skupina,PLLH 2,PLLH 2,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
dd9be524-9f44-4580-951d-1da7fc24a2f2,PLLH 3. skupina,PLLH 3,PLLH 3,12,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
c777e2c4-58ca-4b42-be04-7f229728f206,PLLH 4. skupina,PLLH 4,PLLH 4,10,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
4cb3e771-76e6-4f80-af24-f3144a084bb0,PLLH 5. skupina,PLLH 5,PLLH 5,10,Pražská liga ledního hokeje,eb28fe84-b963-4058-9af2-ad86764210ed,Základní část,9933480b-989b-4253-8127-137a9174d8d3,Prague Hockey Masters,bca80281-7e6a-4d0c-acc2-a818cd62bf4e,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,Škoda Icerink,fe2d5ef7-fa32-4798-93da-bfffee2fc585
