metaHistoryId,playerId,playerName,playerExternalId,teamName,teamId,seasonName,seasonId,competitionId,metaRating,metaLineups,metaScoredGoals,metaAssists,metaPoints,metaPenalties,metaStars,metaAllowedGoals,metaPercentage,metaFacedShots,metaShutOuts,metaAverage
154a7ab5-be27-447c-9e96-f8df5792e1dd,165b9433-e2a6-4cdc-ab62-0de8423e12d9,Petr Urban,17001,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2020-2021,4d4d51cc-02fe-45c6-ad8a-9e2b7aadfb5f,c7c0bb15-5d29-415d-851e-5d777c6cc621,4.3,4,3,3,6,4,0,0,0,0,0,0
ed424d98-d3d8-4501-8b4e-33e42f91cd4e,165b9433-e2a6-4cdc-ab62-0de8423e12d9,Petr Urban,17001,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,c7c0bb15-5d29-415d-851e-5d777c6cc627,4.3,20,12,6,18,12,2,0,0,0,0,0
ddcd98f4-848c-4262-a274-ac381fdc9f73,165b9433-e2a6-4cdc-ab62-0de8423e12d9,Petr Urban,17001,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,c7c0bb15-5d29-415d-851e-5d777c6cc628,4.3,14,10,2,12,8,3,0,0,0,0,
e949b64d-aa05-4c3b-bf8a-53a39854a3a6,165b9433-e2a6-4cdc-ab62-0de8423e12d9,Petr Urban,17001,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,c7c0bb15-5d29-415d-851e-5d777c6cc629,,11,9,6,15,10,,,,,,
202f9e38-4998-4f21-a81b-94f86882b071,165b9433-e2a6-4cdc-ab62-0de8423e12d9,Petr Urban,17001,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,c7c0bb15-5d29-415d-851e-5d777c6cc630,,3,1,0,1,0,,,,,,
ab4959fc-d5f8-4833-a88c-9fe5b24c1fa7,e4bce773-cb5f-445e-9f2d-a85fdccc1d4b,Saša Horký,17003,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2020-2021,4d4d51cc-02fe-45c6-ad8a-9e2b7aadfb5f,c7c0bb15-5d29-415d-851e-5d777c6cc631,2.3,1,0,0,0,0,0,0,0,0,0,0
9bc8cff9-bbd4-4879-8b77-8a5bb2a8edde,e4bce773-cb5f-445e-9f2d-a85fdccc1d4b,Saša Horký,17003,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2019-2020,dc6adc99-0bd8-4223-ba3f-b27ff43b30ac,c7c0bb15-5d29-415d-851e-5d777c6cc632,2.3,15,3,1,4,4,0,0,0,0,0,0
3b9280ec-9f91-4352-a180-35f31bd95c44,e4bce773-cb5f-445e-9f2d-a85fdccc1d4b,Saša Horký,17003,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2018-2019,7804ca66-34b1-4095-8034-5cb06a5131e1,c7c0bb15-5d29-415d-851e-5d777c6cc633,2.3,16,9,2,11,18,1,0,0,0,0,
8554684b-1060-403e-bd9e-fdb50919592c,e4bce773-cb5f-445e-9f2d-a85fdccc1d4b,Saša Horký,17003,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2017-2018,4257a93f-0b15-495c-984d-8a6e842ea063,c7c0bb15-5d29-415d-851e-5d777c6cc634,,11,2,1,3,6,,,,,,
37c9d470-ec34-409c-a826-447c15ef0195,e4bce773-cb5f-445e-9f2d-a85fdccc1d4b,Saša Horký,17003,Fanklub Lev Praha,53c0bf88-0c9c-424a-8a5d-5640988bff14,2016-2017,ce57453d-3da0-4b5d-b5e7-422efbd89548,c7c0bb15-5d29-415d-851e-5d777c6cc635,,6,1,0,1,0,,,,,,
